runId,extensionVersion,startedAtMs,startedAtKst,finishedAtMs,finishedAtKst,finalState,eventCount,droppedCount,targetUrl,reservationDate,personCount,openAtMs,openAtKst,stopAtMs,stopAtKst,timeRangeStartMinutes,timeRangeEndMinutes,configJson,seq,code,severity,component,localAtMs,localAtKst,serverAtMs,serverAtKst,state,message,errorName,errorMessage,errorStack,attr.adjacentClickOk,attr.adjacentClickedAt,attr.adjacentDate,attr.adjacentOpenDeltaMs,attr.adjacentPlannedAt,attr.adjacentScheduleDriftMs,attr.adjacentScheduledServerAtMs,attr.adjacentTimingServerAtMs,attr.adjacentTogglePhase,attr.agreement,attr.arrivalAt,attr.arrivalToClickMs,attr.arrivalToDetectMs,attr.availableCount,attr.availableMinutes,attr.availableSlotCount,attr.bodyClassification,attr.bodyLeadOverDomMs,attr.bodyReadCompletedMonoMs,attr.bodySelectedMinutes,attr.bodySequence,attr.bodyToWakeMs,attr.bridgeDelayMs,attr.bridgeReceivedMonoMs,attr.bridgeToDomMs,attr.claimAgreement,attr.claimSource,attr.classification,attr.clickOk,attr.clockArmLeadMs,attr.clockClusterSeparationMs,attr.clockCompetingSupport,attr.clockConfidence,attr.clockDominantSupport,attr.clockMedianRttMs,attr.clockObservationSpanMs,attr.clockOffsetCenterMs,attr.clockOffsetLowerMs,attr.clockOffsetMs,attr.clockOffsetUpperMs,attr.clockP95RttMs,attr.clockPhase,attr.clockSampleCount,attr.clockSource,attr.clockUncertaintyMs,attr.correlationId,attr.correlationQuality,attr.cycle,attr.diagnosticSnapshotId,attr.dialogButtons,attr.dialogCheckboxCount,attr.dialogDisabledButtonCount,attr.dialogLabel,attr.dialogQuantityControlCount,attr.dialogRadioCount,attr.dialogTitle,attr.dialogUrlKind,attr.dialogZeroDepositControlCount,attr.domCandidateMonoMs,attr.domMinutes,attr.domObservedMonoMs,attr.eventKind,attr.lastMutationMonoMs,attr.matchedSlotCount,attr.matchesTarget,attr.monoFromRunStartMs,attr.mutationGenerationAtDom,attr.mutationGenerationAtTargetClick,attr.mutationObservedAfterTarget,attr.openDeltaMs,attr.payloadClassifiedMonoMs,attr.personCount,attr.phase,attr.postSlotCertainty,attr.postSlotEvidence,attr.postSlotFingerprint,attr.postSlotStage,attr.postSlotStatus,attr.postSlotStrategy,attr.requestDate,attr.requestSentMonoMs,attr.requestSequence,attr.responseCompletedMonoMs,attr.responseStatus,attr.responseToDomMs,attr.result,attr.scheduleDriftMs,attr.scheduledServerAtMs,attr.selectedMinutes,attr.sequence,attr.slotLabel,attr.slotMinutes,attr.slotScanCount,attr.slotTransitionOutcome,attr.snapshotButtons,attr.snapshotDialogLabel,attr.snapshotDialogTitle,attr.snapshotDisabledButtonCount,attr.snapshotFingerprint,attr.snapshotHeadings,attr.snapshotRunState,attr.snapshotTextSnippet,attr.snapshotUrlKind,attr.stale,attr.state,attr.targetClickOk,attr.targetClickedAt,attr.targetOpenDeltaMs,attr.targetPlannedAt,attr.targetResponseToDomMs,attr.targetScheduleDriftMs,attr.targetScheduledServerAtMs,attr.targetSelectedAt,attr.targetTimingServerAtMs,attr.targetTogglePhase,attr.timingServerAtMs,attr.timingStage,attr.togglePhase,attr.wakeAccepted,attr.wakeAtMonoMs,attr.wakeCandidateFound,attr.wakeCorrelationQuality,attr.wakeDiscardReason,attr.wakeFallbackUsed,attr.wakeReason,attr.wakeRequestSequence,attr.wakeScanCount,attr.wakeToDomMs,attr.wakeUsed,attr.watch,attr.xhrArrivalServerAtMs
run-c78a9cea-7a8d-492d-a26f-25ae5e255bda,0.2.0,"=""1784113129422""","=""2026-07-15 19:58:49.422""","=""1784113207603""","=""2026-07-15 20:00:07.603""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/bistropolpo,2026-09-01,2,"=""1784113200000""","=""2026-07-15 20:00:00.000""","=""1784113800000""","=""2026-07-15 20:10:00.000""",690,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784113200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-09-01"",""stopAtMs"":1784113800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/bistropolpo"",""timeRange"":{""endMinutes"":1260,""startMinutes"":690},""toggleIntervalMs"":100}",1,RUN_STARTED,info,content,"=""1784113129422""","=""2026-07-15 19:58:49.422""",,,,실행 추적을 시작했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-c78a9cea-7a8d-492d-a26f-25ae5e255bda,0.2.0,"=""1784113129422""","=""2026-07-15 19:58:49.422""","=""1784113207603""","=""2026-07-15 20:00:07.603""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/bistropolpo,2026-09-01,2,"=""1784113200000""","=""2026-07-15 20:00:00.000""","=""1784113800000""","=""2026-07-15 20:10:00.000""",690,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784113200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-09-01"",""stopAtMs"":1784113800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/bistropolpo"",""timeRange"":{""endMinutes"":1260,""startMinutes"":690},""toggleIntervalMs"":100}",2,STATE_CHANGED,trace,content,"=""1784113129424""","=""2026-07-15 19:58:49.424""",,,CONFIGURED,예약 설정을 불러왔습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONFIGURED,,,,,,,,,,,,,,,,,,,,,,,,,,
run-c78a9cea-7a8d-492d-a26f-25ae5e255bda,0.2.0,"=""1784113129422""","=""2026-07-15 19:58:49.422""","=""1784113207603""","=""2026-07-15 20:00:07.603""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/bistropolpo,2026-09-01,2,"=""1784113200000""","=""2026-07-15 20:00:00.000""","=""1784113800000""","=""2026-07-15 20:10:00.000""",690,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784113200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-09-01"",""stopAtMs"":1784113800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/bistropolpo"",""timeRange"":{""endMinutes"":1260,""startMinutes"":690},""toggleIntervalMs"":100}",3,STATE_CHANGED,trace,content,"=""1784113129424""","=""2026-07-15 19:58:49.424""",,,VALIDATING,예약 설정과 실행 조건을 검증합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VALIDATING,,,,,,,,,,,,,,,,,,,,,,,,,,
run-c78a9cea-7a8d-492d-a26f-25ae5e255bda,0.2.0,"=""1784113129422""","=""2026-07-15 19:58:49.422""","=""1784113207603""","=""2026-07-15 20:00:07.603""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/bistropolpo,2026-09-01,2,"=""1784113200000""","=""2026-07-15 20:00:00.000""","=""1784113800000""","=""2026-07-15 20:10:00.000""",690,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784113200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-09-01"",""stopAtMs"":1784113800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/bistropolpo"",""timeRange"":{""endMinutes"":1260,""startMinutes"":690},""toggleIntervalMs"":100}",4,STATE_CHANGED,trace,content,"=""1784113129424""","=""2026-07-15 19:58:49.424""",,,SYNCING_CLOCK,캐치테이블 서버 시계를 측정합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNCING_CLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,
run-c78a9cea-7a8d-492d-a26f-25ae5e255bda,0.2.0,"=""1784113129422""","=""2026-07-15 19:58:49.422""","=""1784113207603""","=""2026-07-15 20:00:07.603""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/bistropolpo,2026-09-01,2,"=""1784113200000""","=""2026-07-15 20:00:00.000""","=""1784113800000""","=""2026-07-15 20:10:00.000""",690,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784113200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-09-01"",""stopAtMs"":1784113800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/bistropolpo"",""timeRange"":{""endMinutes"":1260,""startMinutes"":690},""toggleIntervalMs"":100}",5,CLOCK_SYNCED,trace,content,"=""1784113129570""","=""2026-07-15 19:58:49.570""","=""1784113129573.4497""","=""2026-07-15 19:58:49.573""",,서버 시계 보정을 완료했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,LOW,1,144.70000000298023,144.70000000298023,1784113125065.5498,1784113124493.2,3,1784113125637.9,144.70000000298023,bootstrap,1,APP_HEAD_HTTP_DATE,572.3499755859375,,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-c78a9cea-7a8d-492d-a26f-25ae5e255bda,0.2.0,"=""1784113129422""","=""2026-07-15 19:58:49.422""","=""1784113207603""","=""2026-07-15 20:00:07.603""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/bistropolpo,2026-09-01,2,"=""1784113200000""","=""2026-07-15 20:00:00.000""","=""1784113800000""","=""2026-07-15 20:10:00.000""",690,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784113200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-09-01"",""stopAtMs"":1784113800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/bistropolpo"",""timeRange"":{""endMinutes"":1260,""startMinutes"":690},""toggleIntervalMs"":100}",6,STATE_CHANGED,trace,content,"=""1784113129571""","=""2026-07-15 19:58:49.571""","=""1784113129574.5498""","=""2026-07-15 19:58:49.574""",ENTERING_RESERVATION,예약창 진입 상태를 확인합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTERING_RESERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,
run-c78a9cea-7a8d-492d-a26f-25ae5e255bda,0.2.0,"=""1784113129422""","=""2026-07-15 19:58:49.422""","=""1784113207603""","=""2026-07-15 20:00:07.603""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/bistropolpo,2026-09-01,2,"=""1784113200000""","=""2026-07-15 20:00:00.000""","=""1784113800000""","=""2026-07-15 20:10:00.000""",690,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784113200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-09-01"",""stopAtMs"":1784113800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/bistropolpo"",""timeRange"":{""endMinutes"":1260,""startMinutes"":690},""toggleIntervalMs"":100}",7,ACTION_PERFORMED,trace,content,"=""1784113129600""","=""2026-07-15 19:58:49.600""","=""1784113129603.3499""","=""2026-07-15 19:58:49.603""",,예약하기 버튼을 클릭했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-c78a9cea-7a8d-492d-a26f-25ae5e255bda,0.2.0,"=""1784113129422""","=""2026-07-15 19:58:49.422""","=""1784113207603""","=""2026-07-15 20:00:07.603""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/bistropolpo,2026-09-01,2,"=""1784113200000""","=""2026-07-15 20:00:00.000""","=""1784113800000""","=""2026-07-15 20:10:00.000""",690,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784113200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-09-01"",""stopAtMs"":1784113800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/bistropolpo"",""timeRange"":{""endMinutes"":1260,""startMinutes"":690},""toggleIntervalMs"":100}",8,STATE_CHANGED,trace,content,"=""1784113129864""","=""2026-07-15 19:58:49.864""","=""1784113129793.75""","=""2026-07-15 19:58:49.793""",SELECTING_DATE,목표 월과 예약 날짜를 준비합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELECTING_DATE,,,,,,,,,,,,,,,,,,,,,,,,,,
run-c78a9cea-7a8d-492d-a26f-25ae5e255bda,0.2.0,"=""1784113129422""","=""2026-07-15 19:58:49.422""","=""1784113207603""","=""2026-07-15 20:00:07.603""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/bistropolpo,2026-09-01,2,"=""1784113200000""","=""2026-07-15 20:00:00.000""","=""1784113800000""","=""2026-07-15 20:10:00.000""",690,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784113200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-09-01"",""stopAtMs"":1784113800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/bistropolpo"",""timeRange"":{""endMinutes"":1260,""startMinutes"":690},""toggleIntervalMs"":100}",9,ACTION_PERFORMED,trace,content,"=""1784113129902""","=""2026-07-15 19:58:49.902""","=""1784113129832.0498""","=""2026-07-15 19:58:49.832""",,2026-09 달력으로 이동합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-c78a9cea-7a8d-492d-a26f-25ae5e255bda,0.2.0,"=""1784113129422""","=""2026-07-15 19:58:49.422""","=""1784113207603""","=""2026-07-15 20:00:07.603""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/bistropolpo,2026-09-01,2,"=""1784113200000""","=""2026-07-15 20:00:00.000""","=""1784113800000""","=""2026-07-15 20:10:00.000""",690,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784113200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-09-01"",""stopAtMs"":1784113800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/bistropolpo"",""timeRange"":{""endMinutes"":1260,""startMinutes"":690},""toggleIntervalMs"":100}",10,AVAILABILITY_SHADOW,trace,content,"=""1784113130013""","=""2026-07-15 19:58:50.013""","=""1784113129943.0498""","=""2026-07-15 19:58:49.943""",SELECTING_DATE,슬롯 응답 shadow를 EMPTY로 분류했습니다.,,,,,,,,,,,,,,,,,0,,,,,4917.79999999702,,,0.29999999701976776,32.29999999701977,4950.29999999702,,,none,EMPTY,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,false,,,,,,4918,2,body,,,,,,,260716,4706.899999991059,1,4917.699999988079,200,,,,,,1,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,false,4950.5999999940395,,,untrusted_quality,,,,,,,,
