runId,extensionVersion,startedAtMs,startedAtKst,finishedAtMs,finishedAtKst,finalState,eventCount,droppedCount,targetUrl,reservationDate,personCount,openAtMs,openAtKst,stopAtMs,stopAtKst,timeRangeStartMinutes,timeRangeEndMinutes,configJson,seq,code,severity,component,localAtMs,localAtKst,serverAtMs,serverAtKst,state,message,errorName,errorMessage,errorStack,attr.adjacentClickOk,attr.adjacentClickedAt,attr.adjacentDate,attr.adjacentOpenDeltaMs,attr.adjacentPlannedAt,attr.adjacentScheduleDriftMs,attr.adjacentScheduledServerAtMs,attr.adjacentTimingServerAtMs,attr.adjacentTogglePhase,attr.agreement,attr.arrivalAt,attr.arrivalToClickMs,attr.arrivalToDetectMs,attr.availableCount,attr.availableMinutes,attr.availableSlotCount,attr.bodyClassification,attr.bodyLeadOverDomMs,attr.bodyReadCompletedMonoMs,attr.bodySelectedMinutes,attr.bodySequence,attr.bodyToWakeMs,attr.bridgeDelayMs,attr.bridgeReceivedMonoMs,attr.bridgeToDomMs,attr.claimAgreement,attr.claimSource,attr.classification,attr.clickOk,attr.clockArmLeadMs,attr.clockClusterSeparationMs,attr.clockCompetingSupport,attr.clockConfidence,attr.clockDominantSupport,attr.clockMedianRttMs,attr.clockObservationSpanMs,attr.clockOffsetCenterMs,attr.clockOffsetLowerMs,attr.clockOffsetMs,attr.clockOffsetUpperMs,attr.clockP95RttMs,attr.clockPhase,attr.clockSampleCount,attr.clockSource,attr.clockUncertaintyMs,attr.correlationId,attr.correlationQuality,attr.cycle,attr.dialogButtons,attr.dialogCheckboxCount,attr.dialogDisabledButtonCount,attr.dialogLabel,attr.dialogQuantityControlCount,attr.dialogRadioCount,attr.dialogTitle,attr.dialogUrlKind,attr.dialogZeroDepositControlCount,attr.domMinutes,attr.domObservedMonoMs,attr.eventKind,attr.lastMutationMonoMs,attr.matchedSlotCount,attr.matchesTarget,attr.monoFromRunStartMs,attr.mutationGenerationAtDom,attr.mutationGenerationAtTargetClick,attr.mutationObservedAfterTarget,attr.openDeltaMs,attr.payloadClassifiedMonoMs,attr.personCount,attr.phase,attr.postSlotCertainty,attr.postSlotEvidence,attr.postSlotFingerprint,attr.postSlotStage,attr.postSlotStatus,attr.postSlotStrategy,attr.requestDate,attr.requestSentMonoMs,attr.requestSequence,attr.responseCompletedMonoMs,attr.responseStatus,attr.result,attr.selectedMinutes,attr.sequence,attr.slotLabel,attr.slotMinutes,attr.slotScanCount,attr.slotTransitionOutcome,attr.stale,attr.state,attr.targetClickOk,attr.targetClickedAt,attr.targetOpenDeltaMs,attr.targetPlannedAt,attr.targetResponseToDomMs,attr.targetScheduleDriftMs,attr.targetScheduledServerAtMs,attr.targetSelectedAt,attr.targetTimingServerAtMs,attr.targetTogglePhase,attr.timingServerAtMs,attr.timingStage,attr.wakeAccepted,attr.wakeAtMonoMs,attr.wakeCorrelationQuality,attr.wakeDiscardReason,attr.wakeFallbackUsed,attr.wakeRequestSequence,attr.wakeUsed,attr.watch,attr.xhrArrivalServerAtMs
run-4b569267-ab39-4ce2-b4a7-e3c0261c16e3,0.2.0,"=""1784078926599""","=""2026-07-15 10:28:46.599""","=""1784079002969""","=""2026-07-15 10:30:02.969""",HANDED_OFF,40,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-20,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079180000""","=""2026-07-15 10:33:00.000""",1020,1200,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784079180000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",1,RUN_STARTED,info,content,"=""1784078926600""","=""2026-07-15 10:28:46.600""",,,,실행 추적을 시작했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-4b569267-ab39-4ce2-b4a7-e3c0261c16e3,0.2.0,"=""1784078926599""","=""2026-07-15 10:28:46.599""","=""1784079002969""","=""2026-07-15 10:30:02.969""",HANDED_OFF,40,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-20,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079180000""","=""2026-07-15 10:33:00.000""",1020,1200,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784079180000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",2,STATE_CHANGED,trace,content,"=""1784078926601""","=""2026-07-15 10:28:46.601""",,,CONFIGURED,예약 설정을 불러왔습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONFIGURED,,,,,,,,,,,,,,,,,,,,,
run-4b569267-ab39-4ce2-b4a7-e3c0261c16e3,0.2.0,"=""1784078926599""","=""2026-07-15 10:28:46.599""","=""1784079002969""","=""2026-07-15 10:30:02.969""",HANDED_OFF,40,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-20,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079180000""","=""2026-07-15 10:33:00.000""",1020,1200,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784079180000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",3,STATE_CHANGED,trace,content,"=""1784078926602""","=""2026-07-15 10:28:46.602""",,,VALIDATING,예약 설정과 실행 조건을 검증합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VALIDATING,,,,,,,,,,,,,,,,,,,,,
run-4b569267-ab39-4ce2-b4a7-e3c0261c16e3,0.2.0,"=""1784078926599""","=""2026-07-15 10:28:46.599""","=""1784079002969""","=""2026-07-15 10:30:02.969""",HANDED_OFF,40,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-20,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079180000""","=""2026-07-15 10:33:00.000""",1020,1200,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784079180000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",4,STATE_CHANGED,trace,content,"=""1784078926602""","=""2026-07-15 10:28:46.602""",,,SYNCING_CLOCK,캐치테이블 서버 시계를 측정합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNCING_CLOCK,,,,,,,,,,,,,,,,,,,,,
run-4b569267-ab39-4ce2-b4a7-e3c0261c16e3,0.2.0,"=""1784078926599""","=""2026-07-15 10:28:46.599""","=""1784079002969""","=""2026-07-15 10:30:02.969""",HANDED_OFF,40,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-20,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079180000""","=""2026-07-15 10:33:00.000""",1020,1200,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784079180000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",5,CLOCK_SYNCED,trace,content,"=""1784078926811""","=""2026-07-15 10:28:46.811""","=""1784078928604.5503""","=""2026-07-15 10:28:48.604""",,서버 시계 보정을 완료했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,LOW,1,207.69999999552965,207.69999999552965,1784078927007.85,1784078926404,1793,1784078927611.7,207.69999999552965,bootstrap,1,APP_HEAD_HTTP_DATE,603.8499755859375,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-4b569267-ab39-4ce2-b4a7-e3c0261c16e3,0.2.0,"=""1784078926599""","=""2026-07-15 10:28:46.599""","=""1784079002969""","=""2026-07-15 10:30:02.969""",HANDED_OFF,40,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-20,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079180000""","=""2026-07-15 10:33:00.000""",1020,1200,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784079180000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",6,STATE_CHANGED,trace,content,"=""1784078926812""","=""2026-07-15 10:28:46.812""","=""1784078928605.2502""","=""2026-07-15 10:28:48.605""",ENTERING_RESERVATION,예약창 진입 상태를 확인합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTERING_RESERVATION,,,,,,,,,,,,,,,,,,,,,
run-4b569267-ab39-4ce2-b4a7-e3c0261c16e3,0.2.0,"=""1784078926599""","=""2026-07-15 10:28:46.599""","=""1784079002969""","=""2026-07-15 10:30:02.969""",HANDED_OFF,40,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-20,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079180000""","=""2026-07-15 10:33:00.000""",1020,1200,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784079180000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",7,ACTION_PERFORMED,trace,content,"=""1784078927586""","=""2026-07-15 10:28:47.586""","=""1784078929275.9001""","=""2026-07-15 10:28:49.275""",,예약하기 버튼을 클릭했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-4b569267-ab39-4ce2-b4a7-e3c0261c16e3,0.2.0,"=""1784078926599""","=""2026-07-15 10:28:46.599""","=""1784079002969""","=""2026-07-15 10:30:02.969""",HANDED_OFF,40,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-20,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079180000""","=""2026-07-15 10:33:00.000""",1020,1200,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784079180000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",8,AVAILABILITY_SHADOW,trace,content,"=""1784078927978""","=""2026-07-15 10:28:47.978""","=""1784078929667.4001""","=""2026-07-15 10:28:49.667""",ENTERING_RESERVATION,슬롯 응답 shadow를 POPULATED로 분류했습니다.,,,,,,,,,,,,,,,,,3,"1080,1140,1200",,,,2664.39999999851,,,0.20000000298023224,98.89999999850988,2763.60000000149,,,none,POPULATED,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,false,,,,,,2664.7000000029802,2,body,,,,,,,260715,2495.3000000044703,1,2664.39999999851,200,,1080,1,,,,,false,,,,,,,,,,,,,,false,2763.8000000044703,,untrusted_quality,,,,,
run-4b569267-ab39-4ce2-b4a7-e3c0261c16e3,0.2.0,"=""1784078926599""","=""2026-07-15 10:28:46.599""","=""1784079002969""","=""2026-07-15 10:30:02.969""",HANDED_OFF,40,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-20,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079180000""","=""2026-07-15 10:33:00.000""",1020,1200,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784079180000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",9,STATE_CHANGED,trace,content,"=""1784078928000""","=""2026-07-15 10:28:48.000""","=""1784078929688.9001""","=""2026-07-15 10:28:49.688""",SELECTING_DATE,목표 월과 예약 날짜를 준비합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELECTING_DATE,,,,,,,,,,,,,,,,,,,,,
run-4b569267-ab39-4ce2-b4a7-e3c0261c16e3,0.2.0,"=""1784078926599""","=""2026-07-15 10:28:46.599""","=""1784079002969""","=""2026-07-15 10:30:02.969""",HANDED_OFF,40,0,https://app.catchtable.co.kr/ct/shop/gwanganmarket,2026-08-20,2,"=""1784079000000""","=""2026-07-15 10:30:00.000""","=""1784079180000""","=""2026-07-15 10:33:00.000""",1020,1200,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784079000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784079180000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/gwanganmarket"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",10,ACTION_PERFORMED,trace,content,"=""1784078928013""","=""2026-07-15 10:28:48.013""","=""1784078929702.3""","=""2026-07-15 10:28:49.702""",,2026-08 달력으로 이동합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
