runId,extensionVersion,startedAtMs,startedAtKst,finishedAtMs,finishedAtKst,finalState,eventCount,droppedCount,targetUrl,reservationDate,personCount,openAtMs,openAtKst,stopAtMs,stopAtKst,timeRangeStartMinutes,timeRangeEndMinutes,configJson,seq,code,severity,component,localAtMs,localAtKst,serverAtMs,serverAtKst,state,message,errorName,errorMessage,errorStack,attr.availableCount,attr.availableMinutes,attr.bodyReadCompletedMonoMs,attr.bodyToWakeMs,attr.bridgeDelayMs,attr.bridgeReceivedMonoMs,attr.claimAgreement,attr.claimSource,attr.classification,attr.clockArmLeadMs,attr.clockClusterSeparationMs,attr.clockCompetingSupport,attr.clockConfidence,attr.clockDominantSupport,attr.clockMedianRttMs,attr.clockObservationSpanMs,attr.clockOffsetCenterMs,attr.clockOffsetLowerMs,attr.clockOffsetMs,attr.clockOffsetUpperMs,attr.clockP95RttMs,attr.clockPhase,attr.clockSampleCount,attr.clockSource,attr.clockUncertaintyMs,attr.correlationId,attr.correlationQuality,attr.cycle,attr.eventKind,attr.matchesTarget,attr.payloadClassifiedMonoMs,attr.personCount,attr.phase,attr.requestDate,attr.requestSentMonoMs,attr.requestSequence,attr.responseCompletedMonoMs,attr.responseStatus,attr.selectedMinutes,attr.sequence,attr.stale,attr.state,attr.wakeAccepted,attr.wakeAtMonoMs,attr.wakeDiscardReason
run-a60acb2a-75e4-40ca-9017-73f94a9d8fec,0.2.0,"=""1784103910260""","=""2026-07-15 17:25:10.260""","=""1784103914595""","=""2026-07-15 17:25:14.595""",STOPPED,15,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-15,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-15"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",1,RUN_STARTED,info,content,"=""1784103910306""","=""2026-07-15 17:25:10.306""",,,,실행 추적을 시작했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-a60acb2a-75e4-40ca-9017-73f94a9d8fec,0.2.0,"=""1784103910260""","=""2026-07-15 17:25:10.260""","=""1784103914595""","=""2026-07-15 17:25:14.595""",STOPPED,15,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-15,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-15"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",2,STATE_CHANGED,trace,content,"=""1784103910307""","=""2026-07-15 17:25:10.307""",,,CONFIGURED,예약 설정을 불러왔습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,CONFIGURED,,,
run-a60acb2a-75e4-40ca-9017-73f94a9d8fec,0.2.0,"=""1784103910260""","=""2026-07-15 17:25:10.260""","=""1784103914595""","=""2026-07-15 17:25:14.595""",STOPPED,15,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-15,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-15"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",3,STATE_CHANGED,trace,content,"=""1784103910307""","=""2026-07-15 17:25:10.307""",,,VALIDATING,예약 설정과 실행 조건을 검증합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,VALIDATING,,,
run-a60acb2a-75e4-40ca-9017-73f94a9d8fec,0.2.0,"=""1784103910260""","=""2026-07-15 17:25:10.260""","=""1784103914595""","=""2026-07-15 17:25:14.595""",STOPPED,15,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-15,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-15"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",4,STATE_CHANGED,trace,content,"=""1784103910308""","=""2026-07-15 17:25:10.308""",,,SYNCING_CLOCK,캐치테이블 서버 시계를 측정합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,SYNCING_CLOCK,,,
run-a60acb2a-75e4-40ca-9017-73f94a9d8fec,0.2.0,"=""1784103910260""","=""2026-07-15 17:25:10.260""","=""1784103914595""","=""2026-07-15 17:25:14.595""",STOPPED,15,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-15,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-15"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",5,CLOCK_SYNCED,trace,content,"=""1784103910383""","=""2026-07-15 17:25:10.383""","=""1784103910537.95""","=""2026-07-15 17:25:10.537""",,서버 시계 보정을 완료했습니다.,,,,,,,,,,,,,,-1,0,LOW,1,74.1000000089407,74.1000000089407,1784087030947.55,1784087030410.5,155,1784087031484.6,74.1000000089407,bootstrap,1,APP_HEAD_HTTP_DATE,537.050048828125,,,,metric,,,,,,,,,,,,,,,,
run-a60acb2a-75e4-40ca-9017-73f94a9d8fec,0.2.0,"=""1784103910260""","=""2026-07-15 17:25:10.260""","=""1784103914595""","=""2026-07-15 17:25:14.595""",STOPPED,15,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-15,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-15"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",6,STATE_CHANGED,trace,content,"=""1784103910384""","=""2026-07-15 17:25:10.384""","=""1784103910538.75""","=""2026-07-15 17:25:10.538""",ENTERING_RESERVATION,예약창 진입 상태를 확인합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,ENTERING_RESERVATION,,,
run-a60acb2a-75e4-40ca-9017-73f94a9d8fec,0.2.0,"=""1784103910260""","=""2026-07-15 17:25:10.260""","=""1784103914595""","=""2026-07-15 17:25:14.595""",STOPPED,15,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-15,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-15"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",7,ACTION_PERFORMED,trace,content,"=""1784103910406""","=""2026-07-15 17:25:10.406""","=""1784103910560.75""","=""2026-07-15 17:25:10.560""",,예약하기 버튼을 클릭했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,
run-a60acb2a-75e4-40ca-9017-73f94a9d8fec,0.2.0,"=""1784103910260""","=""2026-07-15 17:25:10.260""","=""1784103914595""","=""2026-07-15 17:25:14.595""",STOPPED,15,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-15,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-15"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",8,AVAILABILITY_SHADOW,trace,content,"=""1784103910526""","=""2026-07-15 17:25:10.526""","=""1784103910643.1""","=""2026-07-15 17:25:10.643""",ENTERING_RESERVATION,슬롯 응답 shadow를 EMPTY로 분류했습니다.,,,,0,,16879720.39999999,0.4000000059604645,12.200000002980232,16879732.799999997,,none,EMPTY,,,,,,,,,,,,,,,,,,NONE,,,false,16879720.599999994,2,body,260815,16879676.200000003,1,16879720.39999999,200,,1,false,,false,16879733.200000003,untrusted_quality
run-a60acb2a-75e4-40ca-9017-73f94a9d8fec,0.2.0,"=""1784103910260""","=""2026-07-15 17:25:10.260""","=""1784103914595""","=""2026-07-15 17:25:14.595""",STOPPED,15,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-15,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-15"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",9,STATE_CHANGED,trace,content,"=""1784103910551""","=""2026-07-15 17:25:10.551""","=""1784103910668.3""","=""2026-07-15 17:25:10.668""",SELECTING_DATE,목표 월과 예약 날짜를 준비합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,SELECTING_DATE,,,
run-a60acb2a-75e4-40ca-9017-73f94a9d8fec,0.2.0,"=""1784103910260""","=""2026-07-15 17:25:10.260""","=""1784103914595""","=""2026-07-15 17:25:14.595""",STOPPED,15,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-15,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",660,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-15"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":660},""toggleIntervalMs"":100}",10,STATE_CHANGED,trace,content,"=""1784103910563""","=""2026-07-15 17:25:10.563""","=""1784103910680.1""","=""2026-07-15 17:25:10.680""",SELECTING_PERSON,예약 인원을 준비합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,SELECTING_PERSON,,,
