runId,extensionVersion,startedAtMs,startedAtKst,finishedAtMs,finishedAtKst,finalState,eventCount,droppedCount,targetUrl,reservationDate,personCount,openAtMs,openAtKst,stopAtMs,stopAtKst,timeRangeStartMinutes,timeRangeEndMinutes,configJson,seq,code,severity,component,localAtMs,localAtKst,serverAtMs,serverAtKst,state,message,errorName,errorMessage,errorStack,attr.adjacentClickOk,attr.adjacentClickedAt,attr.adjacentDate,attr.adjacentOpenDeltaMs,attr.adjacentPlannedAt,attr.adjacentScheduleDriftMs,attr.adjacentScheduledServerAtMs,attr.adjacentTimingServerAtMs,attr.adjacentTogglePhase,attr.agreement,attr.arrivalAt,attr.arrivalToClickMs,attr.arrivalToDetectMs,attr.availableCount,attr.availableMinutes,attr.availableSlotCount,attr.bodyClassification,attr.bodyLeadOverDomMs,attr.bodyReadCompletedMonoMs,attr.bodySelectedMinutes,attr.bodySequence,attr.bodyToWakeMs,attr.bridgeDelayMs,attr.bridgeReceivedMonoMs,attr.bridgeToDomMs,attr.claimAgreement,attr.claimSource,attr.classification,attr.clickOk,attr.clockArmLeadMs,attr.clockClusterSeparationMs,attr.clockCompetingSupport,attr.clockConfidence,attr.clockDominantSupport,attr.clockMedianRttMs,attr.clockObservationSpanMs,attr.clockOffsetCenterMs,attr.clockOffsetLowerMs,attr.clockOffsetMs,attr.clockOffsetUpperMs,attr.clockP95RttMs,attr.clockPhase,attr.clockSampleCount,attr.clockSource,attr.clockUncertaintyMs,attr.correlationId,attr.correlationQuality,attr.cycle,attr.diagnosticSnapshotId,attr.dialogButtons,attr.dialogCheckboxCount,attr.dialogDisabledButtonCount,attr.dialogLabel,attr.dialogQuantityControlCount,attr.dialogRadioCount,attr.dialogTitle,attr.dialogUrlKind,attr.dialogZeroDepositControlCount,attr.domMinutes,attr.domObservedMonoMs,attr.eventKind,attr.lastMutationMonoMs,attr.matchedSlotCount,attr.matchesTarget,attr.monoFromRunStartMs,attr.mutationGenerationAtDom,attr.mutationGenerationAtTargetClick,attr.mutationObservedAfterTarget,attr.openDeltaMs,attr.payloadClassifiedMonoMs,attr.personCount,attr.phase,attr.postSlotCertainty,attr.postSlotEvidence,attr.postSlotFingerprint,attr.postSlotStage,attr.postSlotStrategy,attr.requestDate,attr.requestSentMonoMs,attr.requestSequence,attr.responseCompletedMonoMs,attr.responseStatus,attr.result,attr.selectedMinutes,attr.sequence,attr.slotLabel,attr.slotMinutes,attr.slotScanCount,attr.slotTransitionOutcome,attr.snapshotButtons,attr.snapshotDialogLabel,attr.snapshotDialogTitle,attr.snapshotDisabledButtonCount,attr.snapshotFingerprint,attr.snapshotHeadings,attr.snapshotRunState,attr.snapshotTextSnippet,attr.snapshotUrlKind,attr.stale,attr.state,attr.targetClickOk,attr.targetClickedAt,attr.targetOpenDeltaMs,attr.targetPlannedAt,attr.targetResponseToDomMs,attr.targetScheduleDriftMs,attr.targetScheduledServerAtMs,attr.targetSelectedAt,attr.targetTimingServerAtMs,attr.targetTogglePhase,attr.timingServerAtMs,attr.timingStage,attr.wakeAccepted,attr.wakeAtMonoMs,attr.wakeCorrelationQuality,attr.wakeDiscardReason,attr.wakeFallbackUsed,attr.wakeRequestSequence,attr.wakeUsed,attr.watch,attr.xhrArrivalServerAtMs
run-c5d5bb4c-a5a6-4f6e-a8c4-2a0ee7c69b83,0.2.0,"=""1784105926165""","=""2026-07-15 17:58:46.165""","=""1784106006052""","=""2026-07-15 18:00:06.052""",HANDED_OFF,31,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-29,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",300,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100}",1,RUN_STARTED,info,content,"=""1784105926165""","=""2026-07-15 17:58:46.165""",,,,실행 추적을 시작했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-c5d5bb4c-a5a6-4f6e-a8c4-2a0ee7c69b83,0.2.0,"=""1784105926165""","=""2026-07-15 17:58:46.165""","=""1784106006052""","=""2026-07-15 18:00:06.052""",HANDED_OFF,31,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-29,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",300,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100}",2,STATE_CHANGED,trace,content,"=""1784105926165""","=""2026-07-15 17:58:46.165""",,,CONFIGURED,예약 설정을 불러왔습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONFIGURED,,,,,,,,,,,,,,,,,,,,,
run-c5d5bb4c-a5a6-4f6e-a8c4-2a0ee7c69b83,0.2.0,"=""1784105926165""","=""2026-07-15 17:58:46.165""","=""1784106006052""","=""2026-07-15 18:00:06.052""",HANDED_OFF,31,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-29,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",300,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100}",3,STATE_CHANGED,trace,content,"=""1784105926166""","=""2026-07-15 17:58:46.166""",,,VALIDATING,예약 설정과 실행 조건을 검증합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VALIDATING,,,,,,,,,,,,,,,,,,,,,
run-c5d5bb4c-a5a6-4f6e-a8c4-2a0ee7c69b83,0.2.0,"=""1784105926165""","=""2026-07-15 17:58:46.165""","=""1784106006052""","=""2026-07-15 18:00:06.052""",HANDED_OFF,31,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-29,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",300,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100}",4,STATE_CHANGED,trace,content,"=""1784105926166""","=""2026-07-15 17:58:46.166""",,,SYNCING_CLOCK,캐치테이블 서버 시계를 측정합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNCING_CLOCK,,,,,,,,,,,,,,,,,,,,,
run-c5d5bb4c-a5a6-4f6e-a8c4-2a0ee7c69b83,0.2.0,"=""1784105926165""","=""2026-07-15 17:58:46.165""","=""1784106006052""","=""2026-07-15 18:00:06.052""",HANDED_OFF,31,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-29,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",300,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100}",5,CLOCK_SYNCED,trace,content,"=""1784105926234""","=""2026-07-15 17:58:46.234""","=""1784105925534.2998""","=""2026-07-15 17:58:45.534""",,서버 시계 보정을 완료했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,LOW,1,67.79999999701977,67.79999999701977,1784105924498.2998,1784105923964.4,-700,1784105925032.2,67.79999999701977,bootstrap,1,APP_HEAD_HTTP_DATE,533.9000244140625,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-c5d5bb4c-a5a6-4f6e-a8c4-2a0ee7c69b83,0.2.0,"=""1784105926165""","=""2026-07-15 17:58:46.165""","=""1784106006052""","=""2026-07-15 18:00:06.052""",HANDED_OFF,31,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-29,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",300,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100}",6,STATE_CHANGED,trace,content,"=""1784105926236""","=""2026-07-15 17:58:46.236""","=""1784105925535.7998""","=""2026-07-15 17:58:45.535""",ENTERING_RESERVATION,예약창 진입 상태를 확인합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTERING_RESERVATION,,,,,,,,,,,,,,,,,,,,,
run-c5d5bb4c-a5a6-4f6e-a8c4-2a0ee7c69b83,0.2.0,"=""1784105926165""","=""2026-07-15 17:58:46.165""","=""1784106006052""","=""2026-07-15 18:00:06.052""",HANDED_OFF,31,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-29,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",300,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100}",7,ACTION_PERFORMED,trace,content,"=""1784105928877""","=""2026-07-15 17:58:48.877""","=""1784105928610.2002""","=""2026-07-15 17:58:48.610""",,예약하기 버튼을 클릭했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-c5d5bb4c-a5a6-4f6e-a8c4-2a0ee7c69b83,0.2.0,"=""1784105926165""","=""2026-07-15 17:58:46.165""","=""1784106006052""","=""2026-07-15 18:00:06.052""",HANDED_OFF,31,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-29,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",300,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100}",8,STATE_CHANGED,trace,content,"=""1784105930327""","=""2026-07-15 17:58:50.327""","=""1784105930060.1""","=""2026-07-15 17:58:50.060""",SELECTING_DATE,목표 월과 예약 날짜를 준비합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELECTING_DATE,,,,,,,,,,,,,,,,,,,,,
run-c5d5bb4c-a5a6-4f6e-a8c4-2a0ee7c69b83,0.2.0,"=""1784105926165""","=""2026-07-15 17:58:46.165""","=""1784106006052""","=""2026-07-15 18:00:06.052""",HANDED_OFF,31,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-29,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",300,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100}",9,ACTION_PERFORMED,trace,content,"=""1784105930453""","=""2026-07-15 17:58:50.453""","=""1784105930186.1""","=""2026-07-15 17:58:50.186""",,2026-08 달력으로 이동합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-c5d5bb4c-a5a6-4f6e-a8c4-2a0ee7c69b83,0.2.0,"=""1784105926165""","=""2026-07-15 17:58:46.165""","=""1784106006052""","=""2026-07-15 18:00:06.052""",HANDED_OFF,31,0,https://app.catchtable.co.kr/ct/shop/kiro,2026-08-29,2,"=""1784106000000""","=""2026-07-15 18:00:00.000""","=""1784106600000""","=""2026-07-15 18:10:00.000""",300,1260,"{""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784106000000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784106600000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/kiro"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100}",10,ACTION_PERFORMED,trace,content,"=""1784105930936""","=""2026-07-15 17:58:50.936""","=""1784105930668.7002""","=""2026-07-15 17:58:50.668""",,2026-08-29 날짜를 선택했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
