runId,extensionVersion,startedAtMs,startedAtKst,finishedAtMs,finishedAtKst,finalState,eventCount,droppedCount,targetUrl,reservationDate,personCount,openAtMs,openAtKst,stopAtMs,stopAtKst,timeRangeStartMinutes,timeRangeEndMinutes,configJson,seq,code,severity,component,localAtMs,localAtKst,serverAtMs,serverAtKst,state,message,errorName,errorMessage,errorStack,attr.adjacentClickOk,attr.adjacentClickedAt,attr.adjacentDate,attr.adjacentOpenDeltaMs,attr.adjacentPlannedAt,attr.adjacentScheduleDriftMs,attr.adjacentScheduledServerAtMs,attr.adjacentTimingServerAtMs,attr.adjacentTogglePhase,attr.agreement,attr.arrivalAt,attr.arrivalToClickMs,attr.arrivalToDetectMs,attr.availableCount,attr.availableMinutes,attr.availableSlotCount,attr.bodyClassification,attr.bodyLeadOverDomMs,attr.bodyReadCompletedMonoMs,attr.bodySelectedMinutes,attr.bodySequence,attr.bodyToWakeMs,attr.bridgeDelayMs,attr.bridgeReceivedMonoMs,attr.bridgeToDomMs,attr.claimAgreement,attr.claimSource,attr.classification,attr.clickOk,attr.clockArmLeadMs,attr.clockClusterSeparationMs,attr.clockCompetingSupport,attr.clockConfidence,attr.clockDominantSupport,attr.clockMedianRttMs,attr.clockObservationSpanMs,attr.clockOffsetCenterMs,attr.clockOffsetLowerMs,attr.clockOffsetMs,attr.clockOffsetUpperMs,attr.clockP95RttMs,attr.clockPhase,attr.clockSampleCount,attr.clockSource,attr.clockUncertaintyMs,attr.correlationId,attr.correlationQuality,attr.cycle,attr.dialogButtons,attr.dialogCheckboxCount,attr.dialogDisabledButtonCount,attr.dialogLabel,attr.dialogQuantityControlCount,attr.dialogRadioCount,attr.dialogTitle,attr.dialogUrlKind,attr.dialogZeroDepositControlCount,attr.domMinutes,attr.domObservedMonoMs,attr.eventKind,attr.lastMutationMonoMs,attr.matchedSlotCount,attr.matchesTarget,attr.monoFromRunStartMs,attr.mutationGenerationAtDom,attr.mutationGenerationAtTargetClick,attr.mutationObservedAfterTarget,attr.openDeltaMs,attr.payloadClassifiedMonoMs,attr.personCount,attr.phase,attr.postSlotCertainty,attr.postSlotEvidence,attr.postSlotFingerprint,attr.postSlotStage,attr.postSlotStatus,attr.postSlotStrategy,attr.requestDate,attr.requestSentMonoMs,attr.requestSequence,attr.responseCompletedMonoMs,attr.responseStatus,attr.result,attr.selectedMinutes,attr.sequence,attr.slotLabel,attr.slotMinutes,attr.slotScanCount,attr.slotTransitionOutcome,attr.snapshotButtons,attr.snapshotDialogLabel,attr.snapshotDialogTitle,attr.snapshotDisabledButtonCount,attr.snapshotFingerprint,attr.snapshotHeadings,attr.snapshotRunState,attr.snapshotTextSnippet,attr.snapshotUrlKind,attr.stale,attr.state,attr.targetClickOk,attr.targetClickedAt,attr.targetOpenDeltaMs,attr.targetPlannedAt,attr.targetResponseToDomMs,attr.targetScheduleDriftMs,attr.targetScheduledServerAtMs,attr.targetSelectedAt,attr.targetTimingServerAtMs,attr.targetTogglePhase,attr.timingServerAtMs,attr.timingStage,attr.wakeAccepted,attr.wakeAtMonoMs,attr.wakeCorrelationQuality,attr.wakeDiscardReason,attr.wakeFallbackUsed,attr.wakeRequestSequence,attr.wakeUsed,attr.watch,attr.xhrArrivalServerAtMs
run-31542f72-cdb8-403d-b956-d6a5cf7b6b28,0.2.0,"=""1784091579442""","=""2026-07-15 13:59:39.442""","=""1784091601040""","=""2026-07-15 14:00:01.040""",HANDED_OFF,34,0,https://app.catchtable.co.kr/ct/shop/laviok,2026-08-25,2,"=""1784091600000""","=""2026-07-15 14:00:00.000""","=""1784092200000""","=""2026-07-15 14:10:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/laviok"",""openAtMs"":1784091600000,""reservationDate"":""2026-08-25"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784092200000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100}",1,RUN_STARTED,info,content,"=""1784091579442""","=""2026-07-15 13:59:39.442""",,,,실행 추적을 시작했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-31542f72-cdb8-403d-b956-d6a5cf7b6b28,0.2.0,"=""1784091579442""","=""2026-07-15 13:59:39.442""","=""1784091601040""","=""2026-07-15 14:00:01.040""",HANDED_OFF,34,0,https://app.catchtable.co.kr/ct/shop/laviok,2026-08-25,2,"=""1784091600000""","=""2026-07-15 14:00:00.000""","=""1784092200000""","=""2026-07-15 14:10:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/laviok"",""openAtMs"":1784091600000,""reservationDate"":""2026-08-25"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784092200000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100}",2,STATE_CHANGED,trace,content,"=""1784091579442""","=""2026-07-15 13:59:39.442""",,,CONFIGURED,예약 설정을 불러왔습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONFIGURED,,,,,,,,,,,,,,,,,,,,,
run-31542f72-cdb8-403d-b956-d6a5cf7b6b28,0.2.0,"=""1784091579442""","=""2026-07-15 13:59:39.442""","=""1784091601040""","=""2026-07-15 14:00:01.040""",HANDED_OFF,34,0,https://app.catchtable.co.kr/ct/shop/laviok,2026-08-25,2,"=""1784091600000""","=""2026-07-15 14:00:00.000""","=""1784092200000""","=""2026-07-15 14:10:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/laviok"",""openAtMs"":1784091600000,""reservationDate"":""2026-08-25"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784092200000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100}",3,STATE_CHANGED,trace,content,"=""1784091579442""","=""2026-07-15 13:59:39.442""",,,VALIDATING,예약 설정과 실행 조건을 검증합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VALIDATING,,,,,,,,,,,,,,,,,,,,,
run-31542f72-cdb8-403d-b956-d6a5cf7b6b28,0.2.0,"=""1784091579442""","=""2026-07-15 13:59:39.442""","=""1784091601040""","=""2026-07-15 14:00:01.040""",HANDED_OFF,34,0,https://app.catchtable.co.kr/ct/shop/laviok,2026-08-25,2,"=""1784091600000""","=""2026-07-15 14:00:00.000""","=""1784092200000""","=""2026-07-15 14:10:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/laviok"",""openAtMs"":1784091600000,""reservationDate"":""2026-08-25"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784092200000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100}",4,STATE_CHANGED,trace,content,"=""1784091579442""","=""2026-07-15 13:59:39.442""",,,SYNCING_CLOCK,캐치테이블 서버 시계를 측정합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNCING_CLOCK,,,,,,,,,,,,,,,,,,,,,
run-31542f72-cdb8-403d-b956-d6a5cf7b6b28,0.2.0,"=""1784091579442""","=""2026-07-15 13:59:39.442""","=""1784091601040""","=""2026-07-15 14:00:01.040""",HANDED_OFF,34,0,https://app.catchtable.co.kr/ct/shop/laviok,2026-08-25,2,"=""1784091600000""","=""2026-07-15 14:00:00.000""","=""1784092200000""","=""2026-07-15 14:10:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/laviok"",""openAtMs"":1784091600000,""reservationDate"":""2026-08-25"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784092200000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100}",5,CLOCK_SYNCED,trace,content,"=""1784091579526""","=""2026-07-15 13:59:39.526""","=""1784091580541.8""","=""2026-07-15 13:59:40.541""",,서버 시계 보정을 완료했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,LOW,1,83,83,1784091526197.9,1784091525656.4,1016,1784091526739.4,83,bootstrap,1,APP_HEAD_HTTP_DATE,541.5,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-31542f72-cdb8-403d-b956-d6a5cf7b6b28,0.2.0,"=""1784091579442""","=""2026-07-15 13:59:39.442""","=""1784091601040""","=""2026-07-15 14:00:01.040""",HANDED_OFF,34,0,https://app.catchtable.co.kr/ct/shop/laviok,2026-08-25,2,"=""1784091600000""","=""2026-07-15 14:00:00.000""","=""1784092200000""","=""2026-07-15 14:10:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/laviok"",""openAtMs"":1784091600000,""reservationDate"":""2026-08-25"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784092200000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100}",6,STATE_CHANGED,trace,content,"=""1784091579527""","=""2026-07-15 13:59:39.527""","=""1784091580542.5999""","=""2026-07-15 13:59:40.542""",ENTERING_RESERVATION,예약창 진입 상태를 확인합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTERING_RESERVATION,,,,,,,,,,,,,,,,,,,,,
run-31542f72-cdb8-403d-b956-d6a5cf7b6b28,0.2.0,"=""1784091579442""","=""2026-07-15 13:59:39.442""","=""1784091601040""","=""2026-07-15 14:00:01.040""",HANDED_OFF,34,0,https://app.catchtable.co.kr/ct/shop/laviok,2026-08-25,2,"=""1784091600000""","=""2026-07-15 14:00:00.000""","=""1784092200000""","=""2026-07-15 14:10:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/laviok"",""openAtMs"":1784091600000,""reservationDate"":""2026-08-25"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784092200000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100}",7,ACTION_PERFORMED,trace,content,"=""1784091579546""","=""2026-07-15 13:59:39.546""","=""1784091580562""","=""2026-07-15 13:59:40.562""",,예약하기 버튼을 클릭했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-31542f72-cdb8-403d-b956-d6a5cf7b6b28,0.2.0,"=""1784091579442""","=""2026-07-15 13:59:39.442""","=""1784091601040""","=""2026-07-15 14:00:01.040""",HANDED_OFF,34,0,https://app.catchtable.co.kr/ct/shop/laviok,2026-08-25,2,"=""1784091600000""","=""2026-07-15 14:00:00.000""","=""1784092200000""","=""2026-07-15 14:10:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/laviok"",""openAtMs"":1784091600000,""reservationDate"":""2026-08-25"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784092200000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100}",8,AVAILABILITY_SHADOW,trace,content,"=""1784091579660""","=""2026-07-15 13:59:39.660""","=""1784091580634.5002""","=""2026-07-15 13:59:40.634""",ENTERING_RESERVATION,슬롯 응답 shadow를 EMPTY로 분류했습니다.,,,,,,,,,,,,,,,,,0,,,,,54464.30000000447,,,0.30000000447034836,13.5,54478.10000000149,,,none,EMPTY,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,false,,,,,,54464.60000000149,2,body,,,,,,,260825,54416.80000000447,1,54464.30000000447,200,,,1,,,,,,,,,,,,,,false,,,,,,,,,,,,,,false,54478.40000000596,,untrusted_quality,,,,,
run-31542f72-cdb8-403d-b956-d6a5cf7b6b28,0.2.0,"=""1784091579442""","=""2026-07-15 13:59:39.442""","=""1784091601040""","=""2026-07-15 14:00:01.040""",HANDED_OFF,34,0,https://app.catchtable.co.kr/ct/shop/laviok,2026-08-25,2,"=""1784091600000""","=""2026-07-15 14:00:00.000""","=""1784092200000""","=""2026-07-15 14:10:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/laviok"",""openAtMs"":1784091600000,""reservationDate"":""2026-08-25"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784092200000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100}",9,STATE_CHANGED,trace,content,"=""1784091579679""","=""2026-07-15 13:59:39.679""","=""1784091580653.3""","=""2026-07-15 13:59:40.653""",SELECTING_DATE,목표 월과 예약 날짜를 준비합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELECTING_DATE,,,,,,,,,,,,,,,,,,,,,
run-31542f72-cdb8-403d-b956-d6a5cf7b6b28,0.2.0,"=""1784091579442""","=""2026-07-15 13:59:39.442""","=""1784091601040""","=""2026-07-15 14:00:01.040""",HANDED_OFF,34,0,https://app.catchtable.co.kr/ct/shop/laviok,2026-08-25,2,"=""1784091600000""","=""2026-07-15 14:00:00.000""","=""1784092200000""","=""2026-07-15 14:10:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/laviok"",""openAtMs"":1784091600000,""reservationDate"":""2026-08-25"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784092200000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100}",10,STATE_CHANGED,trace,content,"=""1784091579682""","=""2026-07-15 13:59:39.682""","=""1784091580656.3""","=""2026-07-15 13:59:40.656""",SELECTING_PERSON,예약 인원을 준비합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELECTING_PERSON,,,,,,,,,,,,,,,,,,,,,
