runId,extensionVersion,startedAtMs,startedAtKst,finishedAtMs,finishedAtKst,finalState,eventCount,droppedCount,targetUrl,reservationDate,personCount,openAtMs,openAtKst,stopAtMs,stopAtKst,timeRangeStartMinutes,timeRangeEndMinutes,configJson,seq,code,severity,component,localAtMs,localAtKst,serverAtMs,serverAtKst,state,message,errorName,errorMessage,errorStack,attr.adjacentClickOk,attr.adjacentClickedAt,attr.adjacentDate,attr.adjacentOpenDeltaMs,attr.adjacentPlannedAt,attr.adjacentScheduleDriftMs,attr.adjacentScheduledServerAtMs,attr.adjacentTimingServerAtMs,attr.adjacentTogglePhase,attr.agreement,attr.arrivalAt,attr.arrivalToClickMs,attr.arrivalToDetectMs,attr.availableCount,attr.availableMinutes,attr.availableSlotCount,attr.bodyClassification,attr.bodyLeadOverDomMs,attr.bodyReadCompletedMonoMs,attr.bodySelectedMinutes,attr.bodySequence,attr.bodyToWakeMs,attr.bridgeDelayMs,attr.bridgeReceivedMonoMs,attr.bridgeToDomMs,attr.claimAgreement,attr.claimSource,attr.classification,attr.clickOk,attr.clockArmLeadMs,attr.clockClusterSeparationMs,attr.clockCompetingSupport,attr.clockConfidence,attr.clockDominantSupport,attr.clockMedianRttMs,attr.clockObservationSpanMs,attr.clockOffsetCenterMs,attr.clockOffsetLowerMs,attr.clockOffsetMs,attr.clockOffsetUpperMs,attr.clockP95RttMs,attr.clockPhase,attr.clockSampleCount,attr.clockSource,attr.clockUncertaintyMs,attr.correlationId,attr.correlationQuality,attr.cycle,attr.dialogButtons,attr.dialogCheckboxCount,attr.dialogDisabledButtonCount,attr.dialogLabel,attr.dialogQuantityControlCount,attr.dialogRadioCount,attr.dialogTitle,attr.dialogUrlKind,attr.dialogZeroDepositControlCount,attr.domMinutes,attr.domObservedMonoMs,attr.eventKind,attr.lastMutationMonoMs,attr.matchedSlotCount,attr.matchesTarget,attr.monoFromRunStartMs,attr.mutationGenerationAtDom,attr.mutationGenerationAtTargetClick,attr.mutationObservedAfterTarget,attr.openDeltaMs,attr.payloadClassifiedMonoMs,attr.personCount,attr.phase,attr.postSlotCertainty,attr.postSlotEvidence,attr.postSlotFingerprint,attr.postSlotStage,attr.postSlotStatus,attr.postSlotStrategy,attr.requestDate,attr.requestSentMonoMs,attr.requestSequence,attr.responseCompletedMonoMs,attr.responseStatus,attr.result,attr.scheduleDriftMs,attr.scheduledServerAtMs,attr.selectedMinutes,attr.sequence,attr.slotLabel,attr.slotMinutes,attr.slotScanCount,attr.slotTransitionOutcome,attr.stale,attr.state,attr.targetClickOk,attr.targetClickedAt,attr.targetOpenDeltaMs,attr.targetPlannedAt,attr.targetResponseToDomMs,attr.targetScheduleDriftMs,attr.targetScheduledServerAtMs,attr.targetSelectedAt,attr.targetTimingServerAtMs,attr.targetTogglePhase,attr.timingServerAtMs,attr.timingStage,attr.togglePhase,attr.wakeAccepted,attr.wakeAtMonoMs,attr.wakeCorrelationQuality,attr.wakeDiscardReason,attr.wakeFallbackUsed,attr.wakeRequestSequence,attr.wakeUsed,attr.watch,attr.xhrArrivalServerAtMs
run-1c05a9f8-fd7d-453c-8597-7a4ed9f4996f,0.2.0,"=""1784080726507""","=""2026-07-15 10:58:46.507""","=""1784080803114""","=""2026-07-15 11:00:03.114""",HANDED_OFF,44,0,https://app.catchtable.co.kr/ct/shop/perigee_seoul,2026-08-29,2,"=""1784080800000""","=""2026-07-15 11:00:00.000""","=""1784081400000""","=""2026-07-15 11:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784080800000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784081400000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/perigee_seoul"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",1,RUN_STARTED,info,content,"=""1784080726507""","=""2026-07-15 10:58:46.507""",,,,실행 추적을 시작했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-1c05a9f8-fd7d-453c-8597-7a4ed9f4996f,0.2.0,"=""1784080726507""","=""2026-07-15 10:58:46.507""","=""1784080803114""","=""2026-07-15 11:00:03.114""",HANDED_OFF,44,0,https://app.catchtable.co.kr/ct/shop/perigee_seoul,2026-08-29,2,"=""1784080800000""","=""2026-07-15 11:00:00.000""","=""1784081400000""","=""2026-07-15 11:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784080800000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784081400000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/perigee_seoul"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",2,STATE_CHANGED,trace,content,"=""1784080726508""","=""2026-07-15 10:58:46.508""",,,CONFIGURED,예약 설정을 불러왔습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONFIGURED,,,,,,,,,,,,,,,,,,,,,,
run-1c05a9f8-fd7d-453c-8597-7a4ed9f4996f,0.2.0,"=""1784080726507""","=""2026-07-15 10:58:46.507""","=""1784080803114""","=""2026-07-15 11:00:03.114""",HANDED_OFF,44,0,https://app.catchtable.co.kr/ct/shop/perigee_seoul,2026-08-29,2,"=""1784080800000""","=""2026-07-15 11:00:00.000""","=""1784081400000""","=""2026-07-15 11:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784080800000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784081400000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/perigee_seoul"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",3,STATE_CHANGED,trace,content,"=""1784080726508""","=""2026-07-15 10:58:46.508""",,,VALIDATING,예약 설정과 실행 조건을 검증합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VALIDATING,,,,,,,,,,,,,,,,,,,,,,
run-1c05a9f8-fd7d-453c-8597-7a4ed9f4996f,0.2.0,"=""1784080726507""","=""2026-07-15 10:58:46.507""","=""1784080803114""","=""2026-07-15 11:00:03.114""",HANDED_OFF,44,0,https://app.catchtable.co.kr/ct/shop/perigee_seoul,2026-08-29,2,"=""1784080800000""","=""2026-07-15 11:00:00.000""","=""1784081400000""","=""2026-07-15 11:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784080800000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784081400000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/perigee_seoul"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",4,STATE_CHANGED,trace,content,"=""1784080726509""","=""2026-07-15 10:58:46.509""",,,SYNCING_CLOCK,캐치테이블 서버 시계를 측정합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNCING_CLOCK,,,,,,,,,,,,,,,,,,,,,,
run-1c05a9f8-fd7d-453c-8597-7a4ed9f4996f,0.2.0,"=""1784080726507""","=""2026-07-15 10:58:46.507""","=""1784080803114""","=""2026-07-15 11:00:03.114""",HANDED_OFF,44,0,https://app.catchtable.co.kr/ct/shop/perigee_seoul,2026-08-29,2,"=""1784080800000""","=""2026-07-15 11:00:00.000""","=""1784081400000""","=""2026-07-15 11:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784080800000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784081400000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/perigee_seoul"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",5,CLOCK_SYNCED,trace,content,"=""1784080726604""","=""2026-07-15 10:58:46.604""","=""1784080726548""","=""2026-07-15 10:58:46.548""",,서버 시계 보정을 완료했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,LOW,1,94.79999999701977,94.79999999701977,1784080725171.9,1784080724624.5,-56,1784080725719.3,94.79999999701977,bootstrap,1,APP_HEAD_HTTP_DATE,547.4000244140625,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-1c05a9f8-fd7d-453c-8597-7a4ed9f4996f,0.2.0,"=""1784080726507""","=""2026-07-15 10:58:46.507""","=""1784080803114""","=""2026-07-15 11:00:03.114""",HANDED_OFF,44,0,https://app.catchtable.co.kr/ct/shop/perigee_seoul,2026-08-29,2,"=""1784080800000""","=""2026-07-15 11:00:00.000""","=""1784081400000""","=""2026-07-15 11:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784080800000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784081400000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/perigee_seoul"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",6,STATE_CHANGED,trace,content,"=""1784080726605""","=""2026-07-15 10:58:46.605""","=""1784080726548.5999""","=""2026-07-15 10:58:46.548""",ENTERING_RESERVATION,예약창 진입 상태를 확인합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTERING_RESERVATION,,,,,,,,,,,,,,,,,,,,,,
run-1c05a9f8-fd7d-453c-8597-7a4ed9f4996f,0.2.0,"=""1784080726507""","=""2026-07-15 10:58:46.507""","=""1784080803114""","=""2026-07-15 11:00:03.114""",HANDED_OFF,44,0,https://app.catchtable.co.kr/ct/shop/perigee_seoul,2026-08-29,2,"=""1784080800000""","=""2026-07-15 11:00:00.000""","=""1784081400000""","=""2026-07-15 11:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784080800000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784081400000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/perigee_seoul"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",7,ACTION_PERFORMED,trace,content,"=""1784080727556""","=""2026-07-15 10:58:47.556""","=""1784080727499.1""","=""2026-07-15 10:58:47.499""",,예약하기 버튼을 클릭했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-1c05a9f8-fd7d-453c-8597-7a4ed9f4996f,0.2.0,"=""1784080726507""","=""2026-07-15 10:58:46.507""","=""1784080803114""","=""2026-07-15 11:00:03.114""",HANDED_OFF,44,0,https://app.catchtable.co.kr/ct/shop/perigee_seoul,2026-08-29,2,"=""1784080800000""","=""2026-07-15 11:00:00.000""","=""1784081400000""","=""2026-07-15 11:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784080800000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784081400000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/perigee_seoul"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",8,AVAILABILITY_SHADOW,trace,content,"=""1784080728245""","=""2026-07-15 10:58:48.245""","=""1784080728188.4""","=""2026-07-15 10:58:48.188""",ENTERING_RESERVATION,슬롯 응답 shadow를 POPULATED로 분류했습니다.,,,,,,,,,,,,,,,,,2,"1020,1140",,,,2679.10000000149,,,0.6000000014901161,336.5,3015.89999999851,,,none,POPULATED,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,false,,,,,,2679.39999999851,2,body,,,,,,,260715,2448.39999999851,1,2679.10000000149,200,,,,1020,1,,,,,false,,,,,,,,,,,,,,,false,3016.5,,untrusted_quality,,,,,
run-1c05a9f8-fd7d-453c-8597-7a4ed9f4996f,0.2.0,"=""1784080726507""","=""2026-07-15 10:58:46.507""","=""1784080803114""","=""2026-07-15 11:00:03.114""",HANDED_OFF,44,0,https://app.catchtable.co.kr/ct/shop/perigee_seoul,2026-08-29,2,"=""1784080800000""","=""2026-07-15 11:00:00.000""","=""1784081400000""","=""2026-07-15 11:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784080800000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784081400000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/perigee_seoul"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",9,STATE_CHANGED,trace,content,"=""1784080728335""","=""2026-07-15 10:58:48.335""","=""1784080728278.9""","=""2026-07-15 10:58:48.278""",SELECTING_DATE,목표 월과 예약 날짜를 준비합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELECTING_DATE,,,,,,,,,,,,,,,,,,,,,,
run-1c05a9f8-fd7d-453c-8597-7a4ed9f4996f,0.2.0,"=""1784080726507""","=""2026-07-15 10:58:46.507""","=""1784080803114""","=""2026-07-15 11:00:03.114""",HANDED_OFF,44,0,https://app.catchtable.co.kr/ct/shop/perigee_seoul,2026-08-29,2,"=""1784080800000""","=""2026-07-15 11:00:00.000""","=""1784081400000""","=""2026-07-15 11:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784080800000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-29"",""stopAtMs"":1784081400000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/perigee_seoul"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",10,ACTION_PERFORMED,trace,content,"=""1784080728344""","=""2026-07-15 10:58:48.344""","=""1784080728288""","=""2026-07-15 10:58:48.288""",,2026-08 달력으로 이동합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
