runId,extensionVersion,startedAtMs,startedAtKst,finishedAtMs,finishedAtKst,finalState,eventCount,droppedCount,targetUrl,reservationDate,personCount,openAtMs,openAtKst,stopAtMs,stopAtKst,timeRangeStartMinutes,timeRangeEndMinutes,configJson,seq,code,severity,component,localAtMs,localAtKst,serverAtMs,serverAtKst,state,message,errorName,errorMessage,errorStack,attr.adjacentClickOk,attr.adjacentClickedAt,attr.adjacentDate,attr.adjacentOpenDeltaMs,attr.adjacentPlannedAt,attr.adjacentScheduleDriftMs,attr.adjacentScheduledServerAtMs,attr.adjacentTimingServerAtMs,attr.adjacentTogglePhase,attr.agreement,attr.arrivalAt,attr.arrivalToClickMs,attr.arrivalToDetectMs,attr.availableCount,attr.availableMinutes,attr.availableSlotCount,attr.bodyClassification,attr.bodyLeadOverDomMs,attr.bodyReadCompletedMonoMs,attr.bodySelectedMinutes,attr.bodySequence,attr.bodyToWakeMs,attr.bridgeDelayMs,attr.bridgeReceivedMonoMs,attr.bridgeToDomMs,attr.claimAgreement,attr.claimSource,attr.classification,attr.clickOk,attr.clockArmLeadMs,attr.clockClusterSeparationMs,attr.clockCompetingSupport,attr.clockConfidence,attr.clockDominantSupport,attr.clockMedianRttMs,attr.clockObservationSpanMs,attr.clockOffsetCenterMs,attr.clockOffsetLowerMs,attr.clockOffsetMs,attr.clockOffsetUpperMs,attr.clockP95RttMs,attr.clockPhase,attr.clockSampleCount,attr.clockSource,attr.clockUncertaintyMs,attr.correlationId,attr.correlationQuality,attr.cycle,attr.diagnosticSnapshotId,attr.dialogButtons,attr.dialogCheckboxCount,attr.dialogDisabledButtonCount,attr.dialogLabel,attr.dialogQuantityControlCount,attr.dialogRadioCount,attr.dialogTitle,attr.dialogUrlKind,attr.dialogZeroDepositControlCount,attr.domMinutes,attr.domObservedMonoMs,attr.eventKind,attr.lastMutationMonoMs,attr.matchedSlotCount,attr.matchesTarget,attr.monoFromRunStartMs,attr.mutationGenerationAtDom,attr.mutationGenerationAtTargetClick,attr.mutationObservedAfterTarget,attr.openDeltaMs,attr.payloadClassifiedMonoMs,attr.personCount,attr.phase,attr.postSlotCertainty,attr.postSlotEvidence,attr.postSlotFingerprint,attr.postSlotStage,attr.postSlotStrategy,attr.requestDate,attr.requestSentMonoMs,attr.requestSequence,attr.responseCompletedMonoMs,attr.responseStatus,attr.result,attr.scheduleDriftMs,attr.scheduledServerAtMs,attr.selectedMinutes,attr.sequence,attr.slotLabel,attr.slotMinutes,attr.slotScanCount,attr.slotTransitionOutcome,attr.snapshotButtons,attr.snapshotDialogLabel,attr.snapshotDialogTitle,attr.snapshotDisabledButtonCount,attr.snapshotFingerprint,attr.snapshotHeadings,attr.snapshotRunState,attr.snapshotTextSnippet,attr.snapshotUrlKind,attr.stale,attr.state,attr.targetClickOk,attr.targetClickedAt,attr.targetOpenDeltaMs,attr.targetPlannedAt,attr.targetResponseToDomMs,attr.targetScheduleDriftMs,attr.targetScheduledServerAtMs,attr.targetSelectedAt,attr.targetTimingServerAtMs,attr.targetTogglePhase,attr.timingServerAtMs,attr.timingStage,attr.togglePhase,attr.wakeAccepted,attr.wakeAtMonoMs,attr.wakeCorrelationQuality,attr.wakeDiscardReason,attr.wakeFallbackUsed,attr.wakeRequestSequence,attr.wakeUsed,attr.watch,attr.xhrArrivalServerAtMs
run-f3aba3bd-0b9e-4b2d-9825-fa75707c31df,0.2.0,"=""1784109527103""","=""2026-07-15 18:58:47.103""","=""1784109606146""","=""2026-07-15 19:00:06.146""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/yunjudang_,2026-08-01,2,"=""1784109600000""","=""2026-07-15 19:00:00.000""","=""1784110200000""","=""2026-07-15 19:10:00.000""",1020,1260,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784109600000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-01"",""stopAtMs"":1784110200000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/yunjudang_"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",1,RUN_STARTED,info,content,"=""1784109527103""","=""2026-07-15 18:58:47.103""",,,,실행 추적을 시작했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-f3aba3bd-0b9e-4b2d-9825-fa75707c31df,0.2.0,"=""1784109527103""","=""2026-07-15 18:58:47.103""","=""1784109606146""","=""2026-07-15 19:00:06.146""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/yunjudang_,2026-08-01,2,"=""1784109600000""","=""2026-07-15 19:00:00.000""","=""1784110200000""","=""2026-07-15 19:10:00.000""",1020,1260,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784109600000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-01"",""stopAtMs"":1784110200000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/yunjudang_"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",2,STATE_CHANGED,trace,content,"=""1784109527104""","=""2026-07-15 18:58:47.104""",,,CONFIGURED,예약 설정을 불러왔습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONFIGURED,,,,,,,,,,,,,,,,,,,,,,
run-f3aba3bd-0b9e-4b2d-9825-fa75707c31df,0.2.0,"=""1784109527103""","=""2026-07-15 18:58:47.103""","=""1784109606146""","=""2026-07-15 19:00:06.146""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/yunjudang_,2026-08-01,2,"=""1784109600000""","=""2026-07-15 19:00:00.000""","=""1784110200000""","=""2026-07-15 19:10:00.000""",1020,1260,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784109600000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-01"",""stopAtMs"":1784110200000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/yunjudang_"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",3,STATE_CHANGED,trace,content,"=""1784109527104""","=""2026-07-15 18:58:47.104""",,,VALIDATING,예약 설정과 실행 조건을 검증합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VALIDATING,,,,,,,,,,,,,,,,,,,,,,
run-f3aba3bd-0b9e-4b2d-9825-fa75707c31df,0.2.0,"=""1784109527103""","=""2026-07-15 18:58:47.103""","=""1784109606146""","=""2026-07-15 19:00:06.146""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/yunjudang_,2026-08-01,2,"=""1784109600000""","=""2026-07-15 19:00:00.000""","=""1784110200000""","=""2026-07-15 19:10:00.000""",1020,1260,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784109600000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-01"",""stopAtMs"":1784110200000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/yunjudang_"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",4,STATE_CHANGED,trace,content,"=""1784109527104""","=""2026-07-15 18:58:47.104""",,,SYNCING_CLOCK,캐치테이블 서버 시계를 측정합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNCING_CLOCK,,,,,,,,,,,,,,,,,,,,,,
run-f3aba3bd-0b9e-4b2d-9825-fa75707c31df,0.2.0,"=""1784109527103""","=""2026-07-15 18:58:47.103""","=""1784109606146""","=""2026-07-15 19:00:06.146""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/yunjudang_,2026-08-01,2,"=""1784109600000""","=""2026-07-15 19:00:00.000""","=""1784110200000""","=""2026-07-15 19:10:00.000""",1020,1260,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784109600000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-01"",""stopAtMs"":1784110200000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/yunjudang_"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",5,CLOCK_SYNCED,trace,content,"=""1784109527235""","=""2026-07-15 18:58:47.235""","=""1784109527565.6003""","=""2026-07-15 18:58:47.565""",,서버 시계 보정을 완료했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,LOW,1,130.20000000298023,130.20000000298023,1784109525397.7002,1784109524832.6,331,1784109525962.8,130.20000000298023,bootstrap,1,APP_HEAD_HTTP_DATE,565.0999755859375,,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-f3aba3bd-0b9e-4b2d-9825-fa75707c31df,0.2.0,"=""1784109527103""","=""2026-07-15 18:58:47.103""","=""1784109606146""","=""2026-07-15 19:00:06.146""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/yunjudang_,2026-08-01,2,"=""1784109600000""","=""2026-07-15 19:00:00.000""","=""1784110200000""","=""2026-07-15 19:10:00.000""",1020,1260,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784109600000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-01"",""stopAtMs"":1784110200000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/yunjudang_"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",6,STATE_CHANGED,trace,content,"=""1784109527236""","=""2026-07-15 18:58:47.236""","=""1784109527566.2002""","=""2026-07-15 18:58:47.566""",ENTERING_RESERVATION,예약창 진입 상태를 확인합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTERING_RESERVATION,,,,,,,,,,,,,,,,,,,,,,
run-f3aba3bd-0b9e-4b2d-9825-fa75707c31df,0.2.0,"=""1784109527103""","=""2026-07-15 18:58:47.103""","=""1784109606146""","=""2026-07-15 19:00:06.146""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/yunjudang_,2026-08-01,2,"=""1784109600000""","=""2026-07-15 19:00:00.000""","=""1784110200000""","=""2026-07-15 19:10:00.000""",1020,1260,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784109600000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-01"",""stopAtMs"":1784110200000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/yunjudang_"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",7,ACTION_PERFORMED,trace,content,"=""1784109528288""","=""2026-07-15 18:58:48.288""","=""1784109528552.8499""","=""2026-07-15 18:58:48.552""",,예약하기 버튼을 클릭했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-f3aba3bd-0b9e-4b2d-9825-fa75707c31df,0.2.0,"=""1784109527103""","=""2026-07-15 18:58:47.103""","=""1784109606146""","=""2026-07-15 19:00:06.146""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/yunjudang_,2026-08-01,2,"=""1784109600000""","=""2026-07-15 19:00:00.000""","=""1784110200000""","=""2026-07-15 19:10:00.000""",1020,1260,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784109600000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-01"",""stopAtMs"":1784110200000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/yunjudang_"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",8,STATE_CHANGED,trace,content,"=""1784109528636""","=""2026-07-15 18:58:48.636""","=""1784109528900.65""","=""2026-07-15 18:58:48.900""",SELECTING_DATE,목표 월과 예약 날짜를 준비합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELECTING_DATE,,,,,,,,,,,,,,,,,,,,,,
run-f3aba3bd-0b9e-4b2d-9825-fa75707c31df,0.2.0,"=""1784109527103""","=""2026-07-15 18:58:47.103""","=""1784109606146""","=""2026-07-15 19:00:06.146""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/yunjudang_,2026-08-01,2,"=""1784109600000""","=""2026-07-15 19:00:00.000""","=""1784110200000""","=""2026-07-15 19:10:00.000""",1020,1260,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784109600000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-01"",""stopAtMs"":1784110200000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/yunjudang_"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",9,ACTION_PERFORMED,trace,content,"=""1784109528665""","=""2026-07-15 18:58:48.665""","=""1784109528929.8499""","=""2026-07-15 18:58:48.929""",,2026-08-01 날짜를 선택했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-f3aba3bd-0b9e-4b2d-9825-fa75707c31df,0.2.0,"=""1784109527103""","=""2026-07-15 18:58:47.103""","=""1784109606146""","=""2026-07-15 19:00:06.146""",HANDED_OFF,33,0,https://app.catchtable.co.kr/ct/shop/yunjudang_,2026-08-01,2,"=""1784109600000""","=""2026-07-15 19:00:00.000""","=""1784110200000""","=""2026-07-15 19:10:00.000""",1020,1260,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784109600000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-01"",""stopAtMs"":1784110200000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/yunjudang_"",""timeRange"":{""endMinutes"":1260,""startMinutes"":1020},""toggleIntervalMs"":100}",10,AVAILABILITY_SHADOW,trace,content,"=""1784109528816""","=""2026-07-15 18:58:48.816""","=""1784109529080.8499""","=""2026-07-15 18:58:49.080""",SELECTING_DATE,슬롯 응답 shadow를 IRRELEVANT로 분류했습니다.,,,,,,,,,,,,,,,,,0,,,,,3696.300000011921,,,0.9000000059604645,51.099999994039536,3747.4000000059605,,,none,IRRELEVANT,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,false,,,,,,3696.300000011921,2,body,,,,,,260716,3373.4000000059605,1,3696.300000011921,0,,,,,1,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,false,3748.300000011921,,untrusted_quality,,,,,
