runId,extensionVersion,startedAtMs,startedAtKst,finishedAtMs,finishedAtKst,finalState,eventCount,droppedCount,targetUrl,reservationDate,personCount,openAtMs,openAtKst,stopAtMs,stopAtKst,timeRangeStartMinutes,timeRangeEndMinutes,configJson,seq,code,severity,component,localAtMs,localAtKst,serverAtMs,serverAtKst,state,message,errorName,errorMessage,errorStack,attr.adjacentClickOk,attr.adjacentClickedAt,attr.adjacentDate,attr.adjacentOpenDeltaMs,attr.adjacentPlannedAt,attr.adjacentScheduleDriftMs,attr.adjacentScheduledServerAtMs,attr.adjacentTimingServerAtMs,attr.adjacentTogglePhase,attr.agreement,attr.arrivalAt,attr.arrivalToClickMs,attr.arrivalToDetectMs,attr.availableSlotCount,attr.bodyClassification,attr.bodyLeadOverDomMs,attr.bodySelectedMinutes,attr.bodySequence,attr.bridgeReceivedMonoMs,attr.bridgeToDomMs,attr.claimSource,attr.clickOk,attr.clockArmLeadMs,attr.clockClusterSeparationMs,attr.clockCompetingSupport,attr.clockConfidence,attr.clockDominantSupport,attr.clockMedianRttMs,attr.clockObservationSpanMs,attr.clockOffsetCenterMs,attr.clockOffsetLowerMs,attr.clockOffsetMs,attr.clockOffsetUpperMs,attr.clockP95RttMs,attr.clockPhase,attr.clockSampleCount,attr.clockSource,attr.clockUncertaintyMs,attr.correlationId,attr.correlationQuality,attr.cycle,attr.dialogButtons,attr.dialogCheckboxCount,attr.dialogDisabledButtonCount,attr.dialogLabel,attr.dialogQuantityControlCount,attr.dialogRadioCount,attr.dialogTitle,attr.dialogUrlKind,attr.dialogZeroDepositControlCount,attr.domMinutes,attr.domObservedMonoMs,attr.eventKind,attr.lastMutationMonoMs,attr.matchedSlotCount,attr.monoFromRunStartMs,attr.mutationGenerationAtDom,attr.mutationGenerationAtTargetClick,attr.mutationObservedAfterTarget,attr.openDeltaMs,attr.payloadClassifiedMonoMs,attr.phase,attr.postSlotCertainty,attr.postSlotEvidence,attr.postSlotFingerprint,attr.postSlotStage,attr.postSlotStatus,attr.postSlotStrategy,attr.requestSequence,attr.responseCompletedMonoMs,attr.result,attr.slotLabel,attr.slotMinutes,attr.slotScanCount,attr.slotTransitionOutcome,attr.state,attr.targetClickOk,attr.targetClickedAt,attr.targetOpenDeltaMs,attr.targetPlannedAt,attr.targetResponseToDomMs,attr.targetScheduleDriftMs,attr.targetScheduledServerAtMs,attr.targetSelectedAt,attr.targetTimingServerAtMs,attr.targetTogglePhase,attr.timingServerAtMs,attr.timingStage,attr.wakeCorrelationQuality,attr.wakeFallbackUsed,attr.wakeRequestSequence,attr.wakeUsed,attr.watch,attr.xhrArrivalServerAtMs
run-e6282c7e-5141-4300-9e02-bfea32e0c58a,0.2.0,"=""1784165359448""","=""2026-07-16 10:29:19.448""","=""1784165404899""","=""2026-07-16 10:30:04.899""",HANDED_OFF,27,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-22,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-22"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",1,RUN_STARTED,info,content,"=""1784165359449""","=""2026-07-16 10:29:19.449""",,,,실행 추적을 시작했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-e6282c7e-5141-4300-9e02-bfea32e0c58a,0.2.0,"=""1784165359448""","=""2026-07-16 10:29:19.448""","=""1784165404899""","=""2026-07-16 10:30:04.899""",HANDED_OFF,27,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-22,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-22"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",2,STATE_CHANGED,trace,content,"=""1784165359449""","=""2026-07-16 10:29:19.449""",,,CONFIGURED,예약 설정을 불러왔습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,CONFIGURED,,,,,,,,,,,,,,,,,,
run-e6282c7e-5141-4300-9e02-bfea32e0c58a,0.2.0,"=""1784165359448""","=""2026-07-16 10:29:19.448""","=""1784165404899""","=""2026-07-16 10:30:04.899""",HANDED_OFF,27,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-22,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-22"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",3,STATE_CHANGED,trace,content,"=""1784165359449""","=""2026-07-16 10:29:19.449""",,,VALIDATING,예약 설정과 실행 조건을 검증합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,VALIDATING,,,,,,,,,,,,,,,,,,
run-e6282c7e-5141-4300-9e02-bfea32e0c58a,0.2.0,"=""1784165359448""","=""2026-07-16 10:29:19.448""","=""1784165404899""","=""2026-07-16 10:30:04.899""",HANDED_OFF,27,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-22,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-22"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",4,STATE_CHANGED,trace,content,"=""1784165359450""","=""2026-07-16 10:29:19.450""",,,SYNCING_CLOCK,캐치테이블 서버 시계를 측정합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,SYNCING_CLOCK,,,,,,,,,,,,,,,,,,
run-e6282c7e-5141-4300-9e02-bfea32e0c58a,0.2.0,"=""1784165359448""","=""2026-07-16 10:29:19.448""","=""1784165404899""","=""2026-07-16 10:30:04.899""",HANDED_OFF,27,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-22,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-22"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",5,CLOCK_SYNCED,trace,content,"=""1784165359510""","=""2026-07-16 10:29:19.510""","=""1784165359530.3""","=""2026-07-16 10:29:19.530""",,서버 시계 보정을 완료했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,LOW,1,60.399999998509884,60.399999998509884,1784165325233.3,1784165324703.1,20,1784165325763.5,60.399999998509884,bootstrap,1,APP_HEAD_HTTP_DATE,530.199951171875,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-e6282c7e-5141-4300-9e02-bfea32e0c58a,0.2.0,"=""1784165359448""","=""2026-07-16 10:29:19.448""","=""1784165404899""","=""2026-07-16 10:30:04.899""",HANDED_OFF,27,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-22,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-22"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",6,STATE_CHANGED,trace,content,"=""1784165359511""","=""2026-07-16 10:29:19.511""","=""1784165359530.9001""","=""2026-07-16 10:29:19.530""",ENTERING_RESERVATION,예약창 진입 상태를 확인합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,ENTERING_RESERVATION,,,,,,,,,,,,,,,,,,
run-e6282c7e-5141-4300-9e02-bfea32e0c58a,0.2.0,"=""1784165359448""","=""2026-07-16 10:29:19.448""","=""1784165404899""","=""2026-07-16 10:30:04.899""",HANDED_OFF,27,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-22,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-22"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",7,STATE_CHANGED,trace,content,"=""1784165359523""","=""2026-07-16 10:29:19.523""","=""1784165359542.6""","=""2026-07-16 10:29:19.542""",SELECTING_DATE,목표 월과 예약 날짜를 준비합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,SELECTING_DATE,,,,,,,,,,,,,,,,,,
run-e6282c7e-5141-4300-9e02-bfea32e0c58a,0.2.0,"=""1784165359448""","=""2026-07-16 10:29:19.448""","=""1784165404899""","=""2026-07-16 10:30:04.899""",HANDED_OFF,27,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-22,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-22"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",8,ACTION_PERFORMED,trace,content,"=""1784165359545""","=""2026-07-16 10:29:19.545""","=""1784165359564.9001""","=""2026-07-16 10:29:19.564""",,2026-08-22 날짜를 선택했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-e6282c7e-5141-4300-9e02-bfea32e0c58a,0.2.0,"=""1784165359448""","=""2026-07-16 10:29:19.448""","=""1784165404899""","=""2026-07-16 10:30:04.899""",HANDED_OFF,27,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-22,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-22"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",9,STATE_CHANGED,trace,content,"=""1784165359639""","=""2026-07-16 10:29:19.639""","=""1784165359628.5""","=""2026-07-16 10:29:19.628""",SELECTING_PERSON,예약 인원을 준비합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,SELECTING_PERSON,,,,,,,,,,,,,,,,,,
run-e6282c7e-5141-4300-9e02-bfea32e0c58a,0.2.0,"=""1784165359448""","=""2026-07-16 10:29:19.448""","=""1784165404899""","=""2026-07-16 10:30:04.899""",HANDED_OFF,27,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-22,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",960,1200,"{""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""openAtMs"":1784165400000,""reservationDate"":""2026-08-22"",""personCount"":2,""timeRange"":{""startMinutes"":960,""endMinutes"":1200},""priorityTimes"":[],""postSlotEnabled"":true,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""tablePreference"":""any"",""menuKeyword"":"""",""stopAtMs"":1784166000000,""entryMode"":""auto"",""dryRun"":false,""preOpenLeadMs"":200,""toggleIntervalMs"":100,""availabilityProbeMode"":""empty_exit""}",10,STATE_CHANGED,trace,content,"=""1784165359651""","=""2026-07-16 10:29:19.651""","=""1784165359640.4""","=""2026-07-16 10:29:19.640""",PREPARING_PAGE,예약 모달과 목표 날짜를 확인합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,PREPARING_PAGE,,,,,,,,,,,,,,,,,,
