runId,extensionVersion,startedAtMs,startedAtKst,finishedAtMs,finishedAtKst,finalState,eventCount,droppedCount,targetUrl,reservationDate,personCount,openAtMs,openAtKst,stopAtMs,stopAtKst,timeRangeStartMinutes,timeRangeEndMinutes,configJson,seq,code,severity,component,localAtMs,localAtKst,serverAtMs,serverAtKst,state,message,errorName,errorMessage,errorStack,attr.clockClusterSeparationMs,attr.clockCompetingSupport,attr.clockConfidence,attr.clockDominantSupport,attr.clockMedianRttMs,attr.clockObservationSpanMs,attr.clockOffsetCenterMs,attr.clockOffsetLowerMs,attr.clockOffsetMs,attr.clockOffsetUpperMs,attr.clockP95RttMs,attr.clockPhase,attr.clockSampleCount,attr.clockSource,attr.clockUncertaintyMs,attr.diagnosticSnapshotId,attr.eventKind,attr.snapshotButtons,attr.snapshotDialogLabel,attr.snapshotDialogTitle,attr.snapshotDisabledButtonCount,attr.snapshotFingerprint,attr.snapshotHeadings,attr.snapshotRunState,attr.snapshotTextSnippet,attr.snapshotUrlKind,attr.state
run-ec09336f-3a3a-4d7a-b9b7-514163ee67bd,0.2.0,"=""1784165325833""","=""2026-07-16 10:28:45.833""","=""1784165340293""","=""2026-07-16 10:29:00.293""",HANDED_OFF,10,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100,""availabilityProbeEnabled"":false}",1,RUN_STARTED,info,content,"=""1784165325833""","=""2026-07-16 10:28:45.833""",,,,실행 추적을 시작했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-ec09336f-3a3a-4d7a-b9b7-514163ee67bd,0.2.0,"=""1784165325833""","=""2026-07-16 10:28:45.833""","=""1784165340293""","=""2026-07-16 10:29:00.293""",HANDED_OFF,10,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100,""availabilityProbeEnabled"":false}",2,STATE_CHANGED,trace,content,"=""1784165325834""","=""2026-07-16 10:28:45.834""",,,CONFIGURED,예약 설정을 불러왔습니다.,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,CONFIGURED
run-ec09336f-3a3a-4d7a-b9b7-514163ee67bd,0.2.0,"=""1784165325833""","=""2026-07-16 10:28:45.833""","=""1784165340293""","=""2026-07-16 10:29:00.293""",HANDED_OFF,10,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100,""availabilityProbeEnabled"":false}",3,STATE_CHANGED,trace,content,"=""1784165325834""","=""2026-07-16 10:28:45.834""",,,VALIDATING,예약 설정과 실행 조건을 검증합니다.,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,VALIDATING
run-ec09336f-3a3a-4d7a-b9b7-514163ee67bd,0.2.0,"=""1784165325833""","=""2026-07-16 10:28:45.833""","=""1784165340293""","=""2026-07-16 10:29:00.293""",HANDED_OFF,10,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100,""availabilityProbeEnabled"":false}",4,STATE_CHANGED,trace,content,"=""1784165325835""","=""2026-07-16 10:28:45.835""",,,SYNCING_CLOCK,캐치테이블 서버 시계를 측정합니다.,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,SYNCING_CLOCK
run-ec09336f-3a3a-4d7a-b9b7-514163ee67bd,0.2.0,"=""1784165325833""","=""2026-07-16 10:28:45.833""","=""1784165340293""","=""2026-07-16 10:29:00.293""",HANDED_OFF,10,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100,""availabilityProbeEnabled"":false}",5,CLOCK_SYNCED,trace,content,"=""1784165325931""","=""2026-07-16 10:28:45.931""","=""1784165327548.5002""","=""2026-07-16 10:28:47.548""",,서버 시계 보정을 완료했습니다.,,,,-1,0,LOW,1,95.39999999850988,95.39999999850988,1784165326883.1,1784165326335.4,1617,1784165327430.8,95.39999999850988,bootstrap,1,APP_HEAD_HTTP_DATE,547.7000732421875,,metric,,,,,,,,,,
run-ec09336f-3a3a-4d7a-b9b7-514163ee67bd,0.2.0,"=""1784165325833""","=""2026-07-16 10:28:45.833""","=""1784165340293""","=""2026-07-16 10:29:00.293""",HANDED_OFF,10,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100,""availabilityProbeEnabled"":false}",6,STATE_CHANGED,trace,content,"=""1784165325932""","=""2026-07-16 10:28:45.932""","=""1784165327549.5002""","=""2026-07-16 10:28:47.549""",ENTERING_RESERVATION,예약창 진입 상태를 확인합니다.,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,ENTERING_RESERVATION
run-ec09336f-3a3a-4d7a-b9b7-514163ee67bd,0.2.0,"=""1784165325833""","=""2026-07-16 10:28:45.833""","=""1784165340293""","=""2026-07-16 10:29:00.293""",HANDED_OFF,10,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100,""availabilityProbeEnabled"":false}",7,ACTION_PERFORMED,trace,content,"=""1784165327816""","=""2026-07-16 10:28:47.816""","=""1784165329384.5999""","=""2026-07-16 10:28:49.384""",,예약하기 버튼을 클릭했습니다.,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,
run-ec09336f-3a3a-4d7a-b9b7-514163ee67bd,0.2.0,"=""1784165325833""","=""2026-07-16 10:28:45.833""","=""1784165340293""","=""2026-07-16 10:29:00.293""",HANDED_OFF,10,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100,""availabilityProbeEnabled"":false}",8,STATE_CHANGED,trace,content,"=""1784165328876""","=""2026-07-16 10:28:48.876""","=""1784165330445.0996""","=""2026-07-16 10:28:50.445""",SELECTING_DATE,목표 월과 예약 날짜를 준비합니다.,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,SELECTING_DATE
run-ec09336f-3a3a-4d7a-b9b7-514163ee67bd,0.2.0,"=""1784165325833""","=""2026-07-16 10:28:45.833""","=""1784165340293""","=""2026-07-16 10:29:00.293""",HANDED_OFF,10,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100,""availabilityProbeEnabled"":false}",9,ACTION_PERFORMED,trace,content,"=""1784165328980""","=""2026-07-16 10:28:48.980""","=""1784165330549.0996""","=""2026-07-16 10:28:50.549""",,2026-08-20 날짜를 선택했습니다.,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,
run-ec09336f-3a3a-4d7a-b9b7-514163ee67bd,0.2.0,"=""1784165325833""","=""2026-07-16 10:28:45.833""","=""1784165340293""","=""2026-07-16 10:29:00.293""",HANDED_OFF,10,0,https://app.catchtable.co.kr/ct/shop/mokran,2026-08-20,2,"=""1784165400000""","=""2026-07-16 10:30:00.000""","=""1784166000000""","=""2026-07-16 10:40:00.000""",300,1260,"{""availabilityProbeMode"":""empty_exit"",""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784165400000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":300,""priorityTimes"":[],""reservationDate"":""2026-08-20"",""stopAtMs"":1784166000000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/mokran"",""timeRange"":{""endMinutes"":1260,""startMinutes"":300},""toggleIntervalMs"":100,""availabilityProbeEnabled"":false}",10,RUN_TERMINATED,trace,content,"=""1784165340293""","=""2026-07-16 10:29:00.293""","=""1784165340558.45""","=""2026-07-16 10:29:00.558""",HANDED_OFF,목표 월 또는 날짜 선택 상태를 제한 시간 안에 확인할 수 없습니다.,,,,,,,,,,,,,,,,,,,d4cbe8c4-27b4-4178-9d2e-0fff7646e762,state,오늘 | 2026년8월 | 닫기,,,0,ss-cda9ae0a,,SELECTING_DATE,오늘2026년8월일월화수목금토28 29 30 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16오늘17마감18마감19마감20 21 22 23 24 25마감26마감27 28 29 30 31 1마감2마감3 4 5 6 7 8마감일월화수목금토26마감27 28 29 30 31 ,shop,HANDED_OFF
